order_id,order_date,customer_id,region,product,sales_rep,quantity,unit_price,discount,revenue
ORD-1056,2026-04-08,CUST-128,West,Insights Basic,Noah Chen,3,300.00,0.20,720.00
ORD-1057,2026-04-09,CUST-132,South,Governance Engine,Mia Patel,4,300.00,0.00,1200.00
ORD-1058,2026-04-10,CUST-136,East,Analytics Pro,Liam Jones,2,1500.00,0.00,3000.00
ORD-1059,2026-04-11,CUST-140,Midwest,Security Hub,Sophia Lee,3,800.00,0.10,2160.00
ORD-1060,2026-04-12,CUST-144,North,Integration Bus,Oliver Brown,4,300.00,0.00,1200.00
ORD-1061,2026-04-13,CUST-148,West,Data Flow,Emma Wilson,2,300.00,0.00,600.00
ORD-1062,2026-04-14,CUST-152,South,Reporter Tool,Lucas Garcia,3,300.00,0.00,900.00
ORD-1063,2026-04-15,CUST-156,East,Automation Suite,Isabella Martinez,4,1000.00,0.20,3200.00
ORD-1064,2026-04-16,CUST-160,Midwest,Predictor API,Ethan Davis,2,300.00,0.10,540.00
ORD-1065,2026-05-01,CUST-100,North,Analytics Pro,Oliver Brown,2,1500.00,0.10,2700.00
ORD-1066,2026-05-02,CUST-105,West,Governance Engine,Emma Wilson,3,300.00,0.00,900.00
ORD-1067,2026-05-03,CUST-110,South,Insights Basic,Lucas Garcia,4,300.00,0.00,1200.00
ORD-1068,2026-05-04,CUST-115,East,Predictor API,Isabella Martinez,2,300.00,0.00,600.00
ORD-1069,2026-05-05,CUST-120,Midwest,Automation Suite,Ethan Davis,3,1000.00,0.00,3000.00
ORD-1070,2026-05-06,CUST-125,North,Reporter Tool,Ava Singh,4,300.00,0.10,1080.00
ORD-1071,2026-05-07,CUST-130,West,Data Flow,Noah Chen,2,300.00,0.00,600.00
ORD-1072,2026-05-08,CUST-135,South,Integration Bus,Mia Patel,3,300.00,0.20,720.00
ORD-1073,2026-05-09,CUST-140,East,Security Hub,Liam Jones,4,800.00,0.00,3200.00
ORD-1074,2026-05-10,CUST-145,Midwest,Analytics Pro,Sophia Lee,2,1500.00,0.00,3000.00
ORD-1075,2026-05-11,CUST-150,North,Governance Engine,Oliver Brown,3,300.00,0.10,810.00
ORD-1076,2026-05-12,CUST-155,West,Insights Basic,Emma Wilson,4,300.00,0.00,1200.00
ORD-1077,2026-05-13,CUST-160,South,Predictor API,Lucas Garcia,2,300.00,0.00,600.00
ORD-1078,2026-05-14,CUST-165,East,Automation Suite,Isabella Martinez,3,1000.00,0.00,3000.00
ORD-1079,2026-05-15,CUST-170,Midwest,Reporter Tool,Ethan Davis,4,300.00,0.20,960.00
ORD-1080,2026-05-16,CUST-175,North,Data Flow,Ava Singh,2,300.00,0.10,540.00
ORD-1081,2026-06-01,CUST-100,West,Analytics Pro,Emma Wilson,2,1500.00,0.10,2700.00
ORD-1082,2026-06-02,CUST-106,South,Predictor API,Lucas Garcia,3,300.00,0.00,900.00
ORD-1083,2026-06-03,CUST-112,East,Data Flow,Isabella Martinez,4,300.00,0.50,600.00
ORD-1084,2026-06-04,CUST-118,Midwest,Analytics Pro,Ethan Davis,2,1500.00,0.00,3000.00
ORD-1085,2026-06-05,CUST-124,North,Predictor API,Ava Singh,3,300.00,0.00,900.00
ORD-1086,2026-06-06,CUST-130,West,Data Flow,Noah Chen,4,300.00,0.10,1080.00
ORD-1087,2026-06-07,CUST-136,South,Analytics Pro,Mia Patel,2,1500.00,0.00,3000.00
ORD-1088,2026-06-08,CUST-142,East,Predictor API,Liam Jones,3,300.00,0.20,720.00
ORD-1089,2026-06-09,CUST-148,Midwest,Data Flow,Sophia Lee,4,300.00,0.00,1200.00
ORD-1090,2026-06-10,CUST-154,North,Analytics Pro,Oliver Brown,2,1500.00,0.00,3000.00
ORD-1091,2026-06-11,CUST-160,West,Predictor API,Emma Wilson,3,300.00,0.10,810.00
ORD-1092,2026-06-12,CUST-166,South,Data Flow,Lucas Garcia,4,300.00,0.00,1200.00
ORD-1093,2026-06-13,CUST-172,East,Analytics Pro,Isabella Martinez,2,1500.00,0.00,3000.00
ORD-1094,2026-06-14,CUST-178,Midwest,Predictor API,Ethan Davis,3,300.00,0.00,900.00
ORD-1095,2026-06-15,CUST-184,North,Data Flow,Ava Singh,4,300.00,0.20,960.00
ORD-1096,2026-06-16,CUST-190,West,Analytics Pro,Noah Chen,2,1500.00,0.10,2700.00
ORD-1097,2026-07-01,CUST-100,South,Analytics Pro,Lucas Garcia,2,1500.00,0.10,2700.00
ORD-1098,2026-07-02,CUST-107,East,Reporter Tool,Isabella Martinez,3,300.00,0.00,900.00
ORD-1099,2026-07-03,CUST-114,Midwest,Governance Engine,Ethan Davis,4,300.00,0.00,1200.00
ORD-1100,2026-07-04,CUST-121,North,Data Flow,Ava Singh,2,300.00,0.00,600.00
ORD-1101,2026-07-05,CUST-128,West,Insights Basic,Noah Chen,3,300.00,0.00,900.00
ORD-1100,2026-07-06,CUST-135,South,Integration Bus,Mia Patel,4,300.00,0.10,1080.00
ORD-1103,2026-07-07,CUST-142,East,Predictor API,Liam Jones,2,300.00,0.00,600.00
ORD-1104,2026-07-08,CUST-149,Midwest,Security Hub,Sophia Lee,3,800.00,0.20,1920.00
ORD-1105,2026-07-09,CUST-156,North,Automation Suite,Oliver Brown,4,1000.00,0.00,4000.00
ORD-1106,2026-07-10,CUST-163,West,Analytics Pro,Emma Wilson,2,1500.00,0.00,3000.00
ORD-1107,2026-07-11,CUST-170,South,Reporter Tool,Lucas Garcia,3,300.00,0.10,810.00
ORD-1108,2026-07-12,CUST-177,East,Governance Engine,Isabella Martinez,4,300.00,0.00,1200.00
ORD-1109,2026-07-13,CUST-184,Midwest,Data Flow,Ethan Davis,2,300.00,0.00,600.00
ORD-1110,2026-07-14,CUST-191,North,Insights Basic,Ava Singh,3,300.00,0.00,900.00
ORD-1111,2026-07-15,CUST-198,West,Integration Bus,Noah Chen,4,300.00,0.20,960.00
ORD-1112,2026-07-16,CUST-5,South,Predictor API,Mia Patel,2,300.00,0.10,540.00
ORD-1113,2026-08-01,CUST-100,East,Analytics Pro,Isabella Martinez,3,1500.00,0.10,4050.00
ORD-1114,2026-08-02,CUST-108,Midwest,Integration Bus,Ethan Davis,4,300.00,0.00,1200.00
ORD-1115,2026-08-03,CUST-116,North,Reporter Tool,Ava Singh,5,300.00,0.00,1500.00
ORD-1116,2026-08-04,CUST-124,West,Predictor API,Noah Chen,3,300.00,0.00,900.00
ORD-1117,2026-08-05,CUST-132,South,Governance Engine,Mia Patel,4,300.00,0.00,1200.00
ORD-1118,2026-08-06,CUST-140,East,Security Hub,Liam Jones,5,800.00,0.10,3600.00
ORD-1119,2026-08-07,CUST-148,Midwest,Data Flow,Sophia Lee,3,300.00,0.00,900.00
ORD-1120,2026-08-08,CUST-156,North,Automation Suite,Oliver Brown,4,1000.00,0.20,3200.00
ORD-1121,2026-08-09,CUST-164,West,Insights Basic,Emma Wilson,5,300.00,0.00,1500.00
ORD-1122,2026-08-10,CUST-172,South,Analytics Pro,Lucas Garcia,3,1500.00,0.00,4500.00
ORD-1123,2026-08-11,CUST-180,East,Integration Bus,Isabella Martinez,4,300.00,0.10,1080.00
ORD-1124,2026-08-12,CUST-188,Midwest,Reporter Tool,Ethan Davis,5,300.00,0.00,1500.00
ORD-1125,2026-08-13,CUST-196,North,Predictor API,Ava Singh,3,300.00,0.00,900.00
ORD-1126,2026-08-14,CUST-4,West,Governance Engine,Noah Chen,4,300.00,0.00,1200.00
ORD-1127,2026-08-15,CUST-12,South,Security Hub,Mia Patel,5,800.00,0.20,3200.00
ORD-1128,2026-08-16,CUST-20,East,Data Flow,Liam Jones,3,300.00,0.10,810.00
ORD-1129,2026-09-01,CUST-100,Midwest,Analytics Pro,Ethan Davis,3,1500.00,0.10,4050.00
ORD-1130,2026-09-02,CUST-109,North,Analytics Pro,Ava Singh,4,1500.00,0.00,6000.00
ORD-1131,2026-09-03,CUST-118,West,Analytics Pro,Noah Chen,5,1500.00,0.00,7500.00
ORD-1132,2026-09-04,CUST-127,South,Analytics Pro,Mia Patel,3,1500.00,0.00,4500.00
ORD-1133,2026-09-05,CUST-136,East,Analytics Pro,Liam Jones,4,1500.00,0.00,6000.00
ORD-1134,2026-09-06,CUST-145,Midwest,Analytics Pro,Sophia Lee,5,1500.00,0.10,6750.00
ORD-1135,2026-09-07,CUST-154,North,Analytics Pro,Oliver Brown,3,1500.00,0.00,4500.00
ORD-1136,2026-09-08,CUST-163,West,Analytics Pro,Emma Wilson,4,1500.00,0.20,4800.00
ORD-1137,2026-09-09,CUST-172,South,Analytics Pro,Lucas Garcia,5,1500.00,0.00,7500.00
ORD-1138,2026-09-10,CUST-181,East,Analytics Pro,Isabella Martinez,3,1500.00,0.00,4500.00
ORD-1139,2026-09-11,CUST-190,Midwest,Analytics Pro,Ethan Davis,4,1500.00,0.10,5400.00
ORD-1140,2026-09-12,CUST-199,North,Analytics Pro,Ava Singh,5,1500.00,0.00,7500.00
ORD-1141,2026-09-13,CUST-8,West,Analytics Pro,Noah Chen,3,1500.00,0.00,4500.00
ORD-1142,2026-09-14,CUST-17,South,Analytics Pro,Mia Patel,4,1500.00,0.00,6000.00
ORD-1143,2026-09-15,CUST-26,East,Analytics Pro,Liam Jones,5,1500.00,0.20,6000.00
ORD-1144,2026-09-16,CUST-35,Midwest,Analytics Pro,Sophia Lee,3,1500.00,0.10,4050.00
ORD-1145,2026-10-01,CUST-100,North,Analytics Pro,Ava Singh,3,1500.00,0.10,4050.00
ORD-1146,2026-10-02,CUST-110,West,Insights Basic,Noah Chen,4,300.00,0.00,1200.00
ORD-1147,2026-10-03,CUST-120,South,Automation Suite,Mia Patel,5,1000.00,0.00,5000.00
ORD-1148,2026-10-04,CUST-130,East,Data Flow,Liam Jones,3,300.00,0.00,900.00
ORD-1149,2026-10-05,CUST-140,Midwest,Security Hub,Sophia Lee,4,800.00,0.00,3200.00
ORD-1150,2026-10-06,CUST-150,North,Governance Engine,Oliver Brown,15,3000.00,0.10,40500.00
ORD-1151,2026-10-07,CUST-160,West,Predictor API,Emma Wilson,3,300.00,0.00,900.00
ORD-1152,2026-10-08,CUST-170,South,Reporter Tool,Lucas Garcia,4,300.00,0.20,960.00
ORD-1153,2026-10-09,CUST-180,East,Integration Bus,Isabella Martinez,5,300.00,0.00,1500.00
ORD-1154,2026-10-10,CUST-190,Midwest,Analytics Pro,Ethan Davis,3,1500.00,0.00,4500.00
ORD-1155,2026-10-11,CUST-0,North,Insights Basic,Ava Singh,4,300.00,0.10,1080.00
ORD-1156,2026-10-12,CUST-10,West,Automation Suite,Noah Chen,5,1000.00,0.00,5000.00
ORD-1157,2026-10-13,CUST-20,South,Data Flow,Mia Patel,3,300.00,0.00,900.00
ORD-1158,2026-10-14,CUST-30,East,Security Hub,Liam Jones,4,800.00,0.00,3200.00
ORD-1159,2026-10-15,CUST-40,Midwest,Governance Engine,Sophia Lee,5,300.00,0.20,1200.00
ORD-1160,2026-10-16,CUST-50,North,Predictor API,Oliver Brown,3,300.00,0.10,810.00
ORD-1161,2026-11-01,CUST-100,West,Analytics Pro,Noah Chen,3,1500.00,0.10,4050.00
ORD-1162,2026-11-02,CUST-111,South,Automation Suite,Mia Patel,4,1000.00,0.00,4000.00
ORD-1163,2026-11-03,CUST-122,East,Security Hub,Liam Jones,5,800.00,0.00,4000.00
ORD-1164,2026-11-04,CUST-133,Midwest,Predictor API,Sophia Lee,3,300.00,0.00,900.00
ORD-1165,2026-11-05,CUST-144,North,Integration Bus,Oliver Brown,4,300.00,0.00,1200.00
ORD-1166,2026-11-06,CUST-155,West,Insights Basic,Emma Wilson,5,300.00,0.10,1350.00
ORD-1167,2026-11-07,CUST-166,South,Data Flow,Lucas Garcia,3,300.00,0.00,900.00
ORD-1168,2026-11-08,CUST-177,East,Governance Engine,Isabella Martinez,4,300.00,0.20,960.00
ORD-1169,2026-11-09,CUST-188,Midwest,Reporter Tool,Ethan Davis,5,300.00,0.00,1500.00
ORD-1170,2026-11-10,CUST-199,North,Analytics Pro,Ava Singh,3,1500.00,0.00,4500.00
ORD-1171,2026-11-11,CUST-10,West,Automation Suite,Noah Chen,4,1000.00,0.10,3600.00
ORD-1172,2026-11-12,CUST-21,South,Security Hub,Mia Patel,5,800.00,0.00,4000.00
ORD-1173,2026-11-13,CUST-32,East,Predictor API,Liam Jones,3,300.00,0.00,900.00
ORD-1174,2026-11-14,CUST-43,Midwest,Integration Bus,Sophia Lee,4,300.00,0.00,1200.00
ORD-1175,2026-11-15,CUST-54,North,Insights Basic,Oliver Brown,5,300.00,0.20,1200.00
ORD-1176,2026-11-16,CUST-65,West,Data Flow,Emma Wilson,3,300.00,0.10,810.00
ORD-1177,2026-12-01,CUST-100,South,Analytics Pro,Mia Patel,4,1500.00,0.10,5400.00
ORD-1178,2026-12-02,CUST-112,East,Data Flow,Liam Jones,5,300.00,0.00,1500.00
ORD-1179,2026-12-03,CUST-124,Midwest,Predictor API,Sophia Lee,6,300.00,0.00,1800.00
ORD-1180,2026-12-04,CUST-136,North,Analytics Pro,Oliver Brown,4,1500.00,0.00,6000.00
ORD-1181,2026-12-05,CUST-148,West,Data Flow,Emma Wilson,5,300.00,0.00,1500.00
ORD-1182,2026-12-06,CUST-160,South,Predictor API,Lucas Garcia,6,300.00,0.10,1620.00
ORD-1183,2026-12-07,CUST-172,East,Analytics Pro,Isabella Martinez,4,1500.00,0.00,6000.00
ORD-1184,2026-12-08,CUST-184,Midwest,Data Flow,Ethan Davis,5,300.00,0.20,1200.00
ORD-1185,2026-12-09,CUST-196,North,Predictor API,Ava Singh,6,300.00,0.00,1800.00
ORD-1186,2026-12-10,CUST-8,West,Analytics Pro,Noah Chen,4,1500.00,0.00,6000.00
ORD-1187,2026-12-11,CUST-20,South,Data Flow,Mia Patel,5,300.00,0.10,1350.00
ORD-1188,2026-12-12,CUST-32,East,Predictor API,Liam Jones,6,300.00,0.00,1800.00
ORD-1189,2026-12-13,CUST-44,Midwest,Analytics Pro,Sophia Lee,4,1500.00,0.00,6000.00
ORD-1190,2026-12-14,CUST-56,North,Data Flow,Oliver Brown,5,300.00,0.00,1500.00
ORD-1191,2026-12-15,CUST-68,West,Predictor API,Emma Wilson,6,300.00,0.20,1440.00
ORD-1192,2026-12-16,CUST-80,South,Analytics Pro,Lucas Garcia,4,1500.00,0.10,5400.00
ORD-1193,2026-12-17,CUST-92,East,Data Flow,Isabella Martinez,5,300.00,0.00,1500.00
ORD-1194,2026-12-18,CUST-104,Midwest,Predictor API,Ethan Davis,6,300.00,0.00,1800.00
ORD-1195,2026-12-19,CUST-116,North,Analytics Pro,Ava Singh,4,1500.00,0.00,6000.00
ORD-1196,2026-12-20,CUST-128,West,Data Flow,Noah Chen,5,300.00,0.00,1500.00
ORD-1197,2026-12-21,CUST-140,South,Predictor API,Mia Patel,6,300.00,0.10,1620.00
ORD-1198,2026-12-22,CUST-152,East,Analytics Pro,Liam Jones,4,1500.00,0.20,4800.00
,2026-01-15,CUST-999,North,Analytics Pro,Ava Singh,2,1200.00,0.10,2160.00
ORD-2002,2026-03-15,CUST-998,,Automation Suite,Mia Patel,3,800.00,0.15,2040.00
